German,English
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,These
Moment,moment
bleiben,stay
brauchen,to need
Weil,because
Kinder,children
unter,under
Arbeit,job
Für,For
Problem,problem
dafür,Therefore
Herr,Mr
Haben,Have
wegen,because
geht's,Let's
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,ne
gegen,against
Weißt,Whisper
Sag,say
schnell,fast
nun,well
eines,one
brauche,need
Abend,evening
hatten,had
Jahre,years
Mach,Make up
Bruder,Brothers
Sache,Thing
hören,hear
komm,come over
Sohn,son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,may be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,help
Familie,family
Geh,Go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,done
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,die
warst,wicked
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,end
He,Head
Dinge,things
Namen,Name
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,For real
bekommen,receive
Männer,men
vergessen,forget
Doch,Indeed
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,wait
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,To you
mache,make
Von,from
Uhr,clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,make up
Gib,Give
vorbei,past
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,Surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,ward
denken,think
Noch,Yet
dran,your turn
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,very
Hand,hand
darf,allowed
